TODO: sort w.r.t. cumtime instead of totttime?  not sure what the diff is atm


real  13m58.350s
user  13m57.114s
sys 0m1.192s

         259048257 function calls (259044488 primitive calls) in 838.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2151    0.002    0.000    0.003    0.000 enum.py:515(__new__)
      990    0.002    0.000    0.006    0.000 enum.py:801(__and__)
 1177/362    0.002    0.000    0.165    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      487    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    263/5    0.002    0.000    0.218    0.044 <frozen importlib._bootstrap>:966(_find_and_load)
      392    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
    248/6    0.002    0.000    0.216    0.036 <frozen importlib._bootstrap>:651(_load_unlocked)
      487    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      248    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     2158    0.002    0.000    0.009    0.000 enum.py:265(__call__)
       97    0.002    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
      253    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     4648    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        8    0.001    0.000    0.003    0.000 enum.py:124(__new__)
      487    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
    263/5    0.001    0.000    0.218    0.044 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      224    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x55e15c32dd60}
        1    0.001    0.001    0.001    0.001 {method 'tofile' of 'numpy.ndarray' objects}
     2764    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1603    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
  478/159    0.001    0.000    0.002    0.000 sre_parse.py:173(getwidth)
     2348    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.001    0.001    0.001    0.001 selectors.py:79(BaseSelector)
     1230    0.001    0.000    0.002    0.000 sre_parse.py:163(__getitem__)
     2057    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      243    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.001    0.001    0.001    0.001 datetime.py:658(date)
      196    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      248    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
       22    0.001    0.000    0.014    0.001 __init__.py:357(namedtuple)
    196/6    0.001    0.000    0.216    0.036 <frozen importlib._bootstrap_external>:672(exec_module)
       22    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        6    0.001    0.000    0.223    0.037 __init__.py:1(<module>)
  248/246    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      954    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      243    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
