calculating first covariance
(85215, 3)
         259047795 function calls (259044026 primitive calls) in 617.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    88/25    0.001    0.000    0.008    0.000 sre_parse.py:407(_parse_sub)
   221/25    0.003    0.000    0.008    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.007    0.007 _util.py:1(<module>)
        1    0.000    0.000    0.007    0.007 reduction.py:10(<module>)
      482    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      248    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 socket.py:47(<module>)
        1    0.000    0.000    0.006    0.006 string.py:15(<module>)
     2127    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      954    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.006    0.006 string.py:65(__init__)
        1    0.000    0.000    0.006    0.006 inspect.py:27(<module>)
      196    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     2151    0.002    0.000    0.006    0.000 enum.py:515(__new__)
      955    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:57(<module>)
      990    0.002    0.000    0.005    0.000 enum.py:801(__and__)
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
       80    0.000    0.000    0.004    0.000 enum.py:795(__or__)
        7    0.000    0.000    0.004    0.001 enum.py:602(_convert)
       25    0.000    0.000    0.004    0.000 sre_parse.py:828(fix_flags)
        4    0.000    0.000    0.004    0.001 enum.py:758(_missing_)
        4    0.000    0.000    0.004    0.001 enum.py:765(_create_pseudo_member_)
      392    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        4    0.000    0.000    0.004    0.001 enum.py:837(_decompose)
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
        3    0.000    0.000    0.004    0.001 enum.py:855(<listcomp>)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
